Title,Genre,Rating,Year
Challengers,Action,7.5,2024
The Fall Guy,Action,7.3,2024
Boy Kills World,Action,6.7,2023
Mother of the Bride,Action,4.9,2024
Mothers' Instinct,Action,6.3,2024
Force of Nature: The Dry 2,Crime,6,2024
[ES] The Courier,Crime,6,2024
The Last Stop in Yuma County,Action,7,2023
Please Don't Destroy: The Treasure of Foggy Mountain,Action,6.1,2023
[ML] Manjummel Boys,Action,8.4,2024
Dune: Part Two,Action,8.6,2024
Turtles All the Way Down,Action,6.7,2024
Flynn,Action,4.4,2024
Unfrosted,Action,5.5,2024
One Bad Apple: A Hannah Swensen Mystery,Action,6.5,2024
[TR] About Dry Grasses,Action,7.8,2023
The Hill,Action,6.7,2023
Out of Darkness,Horror,5.5,2022
Stopmotion,Action,5.5,2023
[ES] Through My Window: Looking at You,Action,5.4,2024
